"Story","Title","Result","Date","Stability","Duration (s)"
"Create user data driven test","Data driven test for creat multiple users to the application","SUCCESS","2023-01-09T23:09:32.110Z[Europe/London]","0.0","143.56"
"Posts CRUD test","Create a new post for the user","SUCCESS","2023-01-09T23:09:33.081Z[Europe/London]","0.0","2.07"
"Posts CRUD test","Verify that post was added for the user","SUCCESS","2023-01-09T23:09:35.148Z[Europe/London]","0.0","0.85"
"Posts CRUD test","Update the post title","SUCCESS","2023-01-09T23:09:36.001Z[Europe/London]","0.0","0.9"
"Posts CRUD test","Delete the post","SUCCESS","2023-01-09T23:09:36.899Z[Europe/London]","0.0","0.78"
"Tags test","Provided correct HTTP method to access resource and validate response code 200","SUCCESS","2023-01-09T23:09:37.742Z[Europe/London]","0.0","0.36"
"Tags test","This test will provide error code 400 when user tries to acces invalid resources","SUCCESS","2023-01-09T23:09:38.106Z[Europe/London]","0.0","0.6"
"Tags test","Provide incorrect  HTTP method(ex: used put insted of get) to access resources,and responce should be 404","SUCCESS","2023-01-09T23:09:38.706Z[Europe/London]","0.0","0.35"
"Users CRUD test","Create a new User","SUCCESS","2023-01-09T23:09:39.106Z[Europe/London]","0.0","0.42"
"Users CRUD test","Verify that user added successfully","SUCCESS","2023-01-09T23:09:39.526Z[Europe/London]","0.0","0.47"
"Users CRUD test","Update user details","SUCCESS","2023-01-09T23:09:39.999Z[Europe/London]","0.0","0.49"
"Users CRUD test","Delete the user","SUCCESS","2023-01-09T23:09:40.489Z[Europe/London]","0.0","0.88"
"Testing different request on the gorest users","Check user is created","SUCCESS","2023-01-09T23:09:41.410Z[Europe/London]","0.0","0.54"
"Testing different request on the gorest users","Get created user with userId","SUCCESS","2023-01-09T23:09:42.039Z[Europe/London]","0.0","0.39"
"Testing different request on the gorest users","Update created user with userId","SUCCESS","2023-01-09T23:09:42.462Z[Europe/London]","0.0","0.44"
"Testing different request on the gorest users","Delete created user","SUCCESS","2023-01-09T23:09:42.945Z[Europe/London]","0.0","0.42"
